Drug,ADE,Valid
statins,depressed,1
lipitor,locking_fingers,1
lipitor,bone_joint_pain,1
lipitor,damaged_my_liver_permanently,1
lipitor,severe_pain_in_the_muscles_in_the_shoulder_area,1
flexeril,pain,1
lipitor,inflammation,1
lipitor,muscle_aching,1
lipitor,blind_spot,1
neurontin,gas,1
aspirin,pain,1
lipitor,rhabdomyolysis,1
coq10,pain,1
antibiotic,stomach_pain,1
lipitor,burning_sensations_in_calves,1
pravachol,heat_stress,1
lipitor,nerve_damage,1
testosterone,decreased_mobility,1
pravachol,pains,1
lipitor,glossitis,1
st john's wort,sun_sensitivity,1
cataflam,gi_distress,1
lip,pain,1
lipitor,pain_in_my_thighs_muscle_cramping,1
co codamol,severe_hip_pain,1
cymbalta,pain,1
lipitor,pain_in_muscles,1
lipitor,cramps_in_my_left_calf,1
lipitor,swelling,1
neurontin,memory_loss,1
lipitor,swollen,1
lipitor,weakness_in_both_arms,1
lipitor,dizziness,1
lipitor,insomnia,1
antibiotic,diarrhea,1
ibuprofen,inflammation,1
cortisone shots,memory_loss-severe,1
simvastatin,skin_itchiness,1
vasotec,elevated_my_blood_glucose_levels,1
statins,inflammation,1
estrace,bleeding,1
lipitor,no_stopping_action_going_down_hill,1
lipitor,pains_in_her_back,1
st john's wort,rashes,1
cortisone shots,in_a_fog,1
lipitor,foggy-headedness,1
lipitor,night_sweats,1
inergy,skin_itchiness,1
simvastatin,swollen_tongue,1
lipitor,feet_pains,1
lipidil micro,muscle_pain,1
lipitor,severe_pain,1
lipitor,high_blood_pressure,1
lipitor,lost_a_lot_of_muscle_and_replacedit_with_fat,1
cq10,depression,1
lipitor,falls,1
cortisone shots,tingling,1
lipitor,joint_pain,1
lipitor,muscles_had_become_weak_and_stressed,1
simvostatin,exteem_pain_in_my_ankle,1
lipitor,sever_fatigue,1
lipitor,blurry_vision,1
lipitor,high,1
actose,vision_problems,1
lipitor,muscle_pain_in_back,1
actose,high,1
lipitor,symptoms_of_als,1
celebrex,knee_pain,1
lipitor,heart_attack,1
caffeine,weakness,1
statins,severe_arthritis_symptoms_in_knees,1
statins,muscle_damage,1
statins,vertigo_like_attack,1
antibiotic,nausea,1
ibuprofen,cramping,1
arthrotec,make_it_worse,1
cortisone shots,felt_like_shin_splints,1
crestor,mild_pain,1
zetia,headache,1
lipitor,stiff,1
lipitor,kidney_damage,1
lipitor,loss_of_strength,1
lipitor,low_back_pain,1
ibuprofen,sun_sensitivity,1
neurontin,grogginess,1
lipitor,lack_of_motivation,1
lipitor,stroke_like_symptoms,1
lip,cramps,1
flaxseed,weakness,1
lipitor,muscle_atrophy,1
lipitor,muscular_pain,1
lipitor,hemorrhoids,1
fish oil salmon,achiness,1
lipitor,muscle_wasting,1
simvostatin,dificultly_in_walking,1
lipitor,impossible_to_move,1
diclofenac,stroke,1
lipitor,intermittent_temperature_elevation,1
lipitor,lack_of_control,1
lipitor,light_head,1
